Date,Forecasted Sales
2017-12-31,866.8479816429945
2018-01-01,866.9735845279647
2018-01-02,867.0991874129348
2018-01-03,867.224790297905
2018-01-04,867.3503931828752
2018-01-05,867.4759960678454
2018-01-06,867.6015989528156
2018-01-07,867.7272018377857
2018-01-08,867.852804722756
2018-01-09,867.9784076077261
2018-01-10,868.1040104926963
2018-01-11,868.2296133776665
2018-01-12,868.3552162626366
2018-01-13,868.4808191476069
2018-01-14,868.606422032577
2018-01-15,868.7320249175472
2018-01-16,868.8576278025174
2018-01-17,868.9832306874875
2018-01-18,869.1088335724578
2018-01-19,869.2344364574279
2018-01-20,869.3600393423981
2018-01-21,869.4856422273683
2018-01-22,869.6112451123385
2018-01-23,869.7368479973087
2018-01-24,869.8624508822788
2018-01-25,869.9880537672491
2018-01-26,870.1136566522192
2018-01-27,870.2392595371894
2018-01-28,870.3648624221596
2018-01-29,870.4904653071297
